validation_scheme,feature_family,role_model_family,target,model,folds,source_rows,total_valid_rows,mean_feature_count,median_feature_count,mean_auc,mean_brier,mean_logloss,mean_precision_top_25pct,mean_precision_top_33pct,role_prior_mean_brier,role_prior_precision_top_25pct,role_prior_precision_top_33pct,brier_lift_vs_role_prior,top25_precision_lift_vs_role_prior,top33_precision_lift_vs_role_prior,promotion_status
repeated_stratified_cv,savant_only,pitcher,failure,sparse_l1_logit,90,33,990,18.0,18.0,0.3396296296296296,0.28372831385207703,0.7689421032696484,0.3259259259259259,0.3888888888888889,0.25206611570247933,0.7407407407407406,0.7416666666666667,-0.0316621981495977,-0.4148148148148147,-0.3527777777777778,do_not_promote
repeated_stratified_cv,recent_track_continuity,pitcher,failure,ridge_logit,90,49,1470,6.0,6.0,0.3864021164021164,0.29030088852648256,0.7975013907248845,0.31166666666666665,0.3314814814814815,0.2451386216217433,0.49166666666666664,0.5037037037037037,-0.04516226690473926,-0.18,-0.17222222222222217,do_not_promote
repeated_stratified_cv,recent_track_continuity,pitcher,failure,balanced_ridge_logit,90,49,1470,6.0,6.0,0.386984126984127,0.2964049907258254,0.8069952290326857,0.3061111111111111,0.3296296296296296,0.2451386216217433,0.49166666666666664,0.5037037037037037,-0.05126636910408208,-0.18555555555555553,-0.17407407407407405,do_not_promote
repeated_stratified_cv,milb_level_role,pitcher,failure,ridge_logit,90,49,1470,8.0,8.0,0.3777513227513227,0.29699616457506917,0.8255016729596523,0.3055555555555556,0.32037037037037036,0.2451386216217433,0.49166666666666664,0.5037037037037037,-0.05185754295332587,-0.18611111111111106,-0.1833333333333333,do_not_promote
repeated_stratified_cv,milb_level_role,pitcher,failure,balanced_ridge_logit,90,49,1470,8.0,8.0,0.37782186948853613,0.3038283428485276,0.8372022579021382,0.295,0.3148148148148148,0.2451386216217433,0.49166666666666664,0.5037037037037037,-0.058689721226784314,-0.19666666666666666,-0.18888888888888883,do_not_promote
repeated_stratified_cv,savant_only,pitcher,failure,balanced_ridge_logit,90,33,990,18.0,18.0,0.43777777777777777,0.3538963834447285,1.072123163428229,0.4777777777777778,0.4861111111111111,0.25206611570247933,0.7407407407407406,0.7416666666666667,-0.10183026774224918,-0.2629629629629628,-0.2555555555555556,do_not_promote
repeated_stratified_cv,savant_only,pitcher,failure,ridge_logit,90,33,990,18.0,18.0,0.4388888888888889,0.3549496885236549,1.074582554263507,0.48148148148148145,0.4861111111111111,0.25206611570247933,0.7407407407407406,0.7416666666666667,-0.10288357282117555,-0.25925925925925913,-0.2555555555555556,do_not_promote
repeated_stratified_cv,savant_only,pitcher,success,role_prior,90,33,990,18.0,18.0,0.5,0.246556473829201,0.6863053326494425,0.2518518518518518,0.26666666666666666,0.246556473829201,0.2518518518518518,0.26666666666666666,0.0,0.0,0.0,baseline
repeated_stratified_cv,compact_mixed,pitcher,success,role_prior,90,49,1470,9.0,9.0,0.5,0.25015304560759105,0.6934534123989695,0.4538888888888889,0.44259259259259254,0.25015304560759105,0.4538888888888889,0.44259259259259254,0.0,0.0,0.0,baseline
repeated_stratified_cv,milb_damage_command,pitcher,success,role_prior,90,49,1470,8.0,8.0,0.5,0.25015304560759105,0.6934534123989695,0.4538888888888889,0.44259259259259254,0.25015304560759105,0.4538888888888889,0.44259259259259254,0.0,0.0,0.0,baseline
repeated_stratified_cv,milb_level_role,pitcher,success,role_prior,90,49,1470,8.0,8.0,0.5,0.25015304560759105,0.6934534123989695,0.4538888888888889,0.44259259259259254,0.25015304560759105,0.4538888888888889,0.44259259259259254,0.0,0.0,0.0,baseline
repeated_stratified_cv,recent_track_continuity,pitcher,success,role_prior,90,49,1470,6.0,6.0,0.5,0.25015304560759105,0.6934534123989695,0.4538888888888889,0.44259259259259254,0.25015304560759105,0.4538888888888889,0.44259259259259254,0.0,0.0,0.0,baseline
repeated_stratified_cv,compact_mixed,pitcher,success,sparse_l1_logit,90,49,1470,9.0,9.0,0.5491994598765432,0.25169617067303857,0.6970837772477345,0.49111111111111116,0.5185185185185185,0.25015304560759105,0.4538888888888889,0.44259259259259254,-0.0015431250654475148,0.03722222222222227,0.07592592592592595,do_not_promote
