query_p_no,p_name,role_segment,split_family,split_label,bucket_path,players,pa,ab,r,h,doubles,triples,hr,tb,rbi,bb,hbp,so,gdp,sf,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_per_pa,rbi_per_pa,context_need_score
10643,김재환,DH_primary_or_bridge,pitcher_type,vs_right,type/0/vs_right,1,165,137,13,24,2,0,6,44,18,26,1,55,2,1,0.0,0.17518248175182483,0.3090909090909091,0.32116788321167883,0.630258792302588,0.145985401459854,0.15757575757575756,0.3333333333333333,0.03636363636363636,0.10909090909090909,3.5040278699402787
10643,김재환,DH_primary_or_bridge,terminal_count,1B_2S,ballCount/0/1B_2S,1,38,38,2,7,0,0,1,10,6,0,0,22,1,0,0.0,0.18421052631578946,0.18421052631578946,0.2631578947368421,0.4473684210526315,0.07894736842105263,0.0,0.5789473684210527,0.02631578947368421,0.15789473684210525,3.497719298245614
10643,김재환,DH_primary_or_bridge,score_context,within_two_run,situation/3/within_two_run,1,138,114,11,21,1,0,4,34,16,21,2,46,0,1,0.0,0.18421052631578946,0.3188405797101449,0.2982456140350877,0.6170861937452325,0.11403508771929824,0.15217391304347827,0.3333333333333333,0.028985507246376812,0.11594202898550725,3.4816247139588103
14587,최지훈,OF_lower_or_mixed_usage,runner_context,runner_on_base,runner/8/runner_on_base,1,122,107,18,21,6,0,5,42,27,10,1,16,5,3,0.0,0.19626168224299065,0.2644628099173554,0.3925233644859813,0.6569861744033367,0.19626168224299065,0.08196721311475409,0.13114754098360656,0.040983606557377046,0.22131147540983606,3.3637136016065496
14587,최지훈,OF_lower_or_mixed_usage,location,Away,location/Away,1,135,123,20,28,7,3,2,47,17,7,1,17,1,3,4.0,0.22764227642276422,0.26865671641791045,0.3821138211382114,0.6507705375561219,0.1544715447154472,0.05185185185185185,0.1259259259259259,0.014814814814814815,0.1259259259259259,3.355175342798204
15530,에레디아,OF_high_leverage_usage,terminal_count,1B_2S,ballCount/0/1B_2S,1,35,33,2,5,2,0,0,7,5,0,0,15,0,2,0.0,0.15151515151515152,0.14285714285714285,0.21212121212121213,0.35497835497835495,0.06060606060606061,0.0,0.42857142857142855,0.0,0.14285714285714285,3.3381385281385283
14587,최지훈,OF_lower_or_mixed_usage,pitcher_type,vs_right_orthdodx,type/1/vs_right_orthdodx,1,187,164,28,31,7,2,7,63,24,18,2,22,3,2,0.0,0.18902439024390244,0.27419354838709675,0.38414634146341464,0.6583398898505114,0.1951219512195122,0.0962566844919786,0.11764705882352941,0.0374331550802139,0.12834224598930483,3.3123524783634934
14587,최지훈,OF_lower_or_mixed_usage,pitcher_type,vs_right,type/0/vs_right,1,190,167,29,33,8,2,7,66,24,18,2,22,3,2,0.0,0.19760479041916168,0.2804232804232804,0.39520958083832336,0.6756328612616038,0.19760479041916168,0.09473684210526316,0.11578947368421053,0.03684210526315789,0.12631578947368421,3.24661787536039
10643,김재환,DH_primary_or_bridge,terminal_count,0B_2S,ballCount/0/0B_2S,1,15,15,0,2,0,0,0,2,0,0,0,8,0,0,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.0,0.0,0.5333333333333333,0.0,0.0,3.21
15530,에레디아,OF_high_leverage_usage,pitcher_type,vs_right_orthdodx,type/1/vs_right_orthdodx,1,194,181,18,45,6,0,7,72,31,9,2,38,4,3,0.0,0.24861878453038674,0.28717948717948716,0.39779005524861877,0.6849695424281059,0.14917127071823202,0.04639175257731959,0.1958762886597938,0.03608247422680412,0.15979381443298968,3.1941634792463525
