context_value,p_no,p_name,games,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_pa,r_pa,rbi_pa,context_type
06,12613,안상현,2,1,6.0,6,3,0,0,0,0,0,0,0,3,1,1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,month
06,15467,김민준,3,1,5.0,5,1,0,0,0,0,0,0,1,1,0,0.0,0.0,0.2,0.2,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.0,month
06,13128,최준우,2,1,4.0,3,0,0,0,0,1,0,0,2,0,0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.5,0.0,0.0,0.0,month
06,16318,최윤석,1,1,4.0,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,month
06,10707,김민식,1,1,3.0,3,1,0,0,0,0,0,0,1,1,0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,month
06,12541,신범수,1,1,2.0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,month
06,15463,김정민,1,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,month
06,14153,채현우,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,month
DH,10643,김재환,47,1,201.0,166,29,2,0,7,32,2,1,60,52,18,25.0,1.0,0.1746987951807229,0.31343283582089554,0.3132530120481928,0.6266858478690883,0.13855421686746988,0.15920398009950248,0.29850746268656714,0.03482587064676617,0.08955223880597014,0.12437810945273632,role_group
DH,10815,한유섬,5,1,25.0,20,4,0,0,0,5,0,0,5,4,2,0.0,0.0,0.2,0.36,0.2,0.56,0.0,0.2,0.2,0.0,0.08,0.0,role_group
DH,14586,류효승,4,1,15.0,14,3,0,0,1,1,0,0,2,6,1,1.0,0.0,0.21428571428571427,0.26666666666666666,0.42857142857142855,0.6952380952380952,0.21428571428571427,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,role_group
DH,10106,최정,3,1,12.0,9,1,1,0,0,3,0,0,4,2,1,0.0,0.0,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.25,0.3333333333333333,0.0,0.08333333333333333,0.0,role_group
DH,15530,에레디아,1,1,5.0,3,1,0,0,0,1,0,1,1,1,1,2.0,0.0,0.3333333333333333,0.4,0.3333333333333333,0.7333333333333334,0.0,0.2,0.2,0.0,0.2,0.4,role_group
DH,13128,최준우,1,1,1.0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,role_group
DH,14146,김창평,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,role_group
DH,14153,채현우,3,1,0.0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,,,,,,,,,,,role_group
DH,16321,홍대인,2,1,0.0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,,,,,,,,,,,role_group
IF_C,12922,박성한,61,1,272.0,225,80,16,1,3,44,1,2,27,107,46,32.0,5.0,0.35555555555555557,0.45955882352941174,0.47555555555555556,0.9351143790849673,0.12,0.16176470588235295,0.09926470588235294,0.011029411764705883,0.16911764705882354,0.11764705882352941,role_group
IF_C,16042,정준재,58,1,226.0,190,58,7,5,1,22,1,3,31,78,30,23.0,7.0,0.30526315789473685,0.375,0.4105263157894737,0.7855263157894736,0.10526315789473684,0.09734513274336283,0.13716814159292035,0.004424778761061947,0.13274336283185842,0.10176991150442478,role_group
IF_C,10106,최정,45,1,200.0,168,51,12,1,14,24,3,5,39,107,29,40.0,3.0,0.30357142857142855,0.39,0.6369047619047619,1.026904761904762,0.3333333333333333,0.12,0.195,0.07,0.145,0.2,role_group
IF_C,10249,오태곤,46,1,154.0,141,31,5,0,8,10,2,1,46,60,21,20.0,4.0,0.2198581560283688,0.2792207792207792,0.425531914893617,0.7047526941143962,0.20567375886524822,0.06493506493506493,0.2987012987012987,0.05194805194805195,0.13636363636363635,0.12987012987012986,role_group
IF_C,14806,조형우,39,1,139.0,123,30,8,0,2,8,3,2,23,44,15,16.0,0.0,0.24390243902439024,0.3014705882352941,0.35772357723577236,0.6591941654710665,0.11382113821138212,0.05755395683453238,0.16546762589928057,0.014388489208633094,0.1079136690647482,0.11510791366906475,role_group
IF_C,12613,안상현,34,1,103.0,87,25,5,0,1,11,2,0,20,33,16,6.0,5.0,0.28735632183908044,0.38,0.3793103448275862,0.7593103448275862,0.09195402298850575,0.10679611650485436,0.1941747572815534,0.009708737864077669,0.1553398058252427,0.05825242718446602,role_group
IF_C,14807,고명준,17,1,68.0,63,23,5,0,4,5,0,0,14,40,9,12.0,1.0,0.36507936507936506,0.4117647058823529,0.6349206349206349,1.0466853408029877,0.2698412698412698,0.07352941176470588,0.20588235294117646,0.058823529411764705,0.1323529411764706,0.17647058823529413,role_group
IF_C,10312,이지영,29,1,65.0,55,9,2,0,0,6,0,1,5,11,7,4.0,1.0,0.16363636363636364,0.24193548387096775,0.2,0.44193548387096776,0.036363636363636376,0.09230769230769231,0.07692307692307693,0.0,0.1076923076923077,0.06153846153846154,role_group
IF_C,14699,전의산,8,1,30.0,27,9,3,0,1,3,0,0,9,15,3,5.0,1.0,0.3333333333333333,0.4,0.5555555555555556,0.9555555555555556,0.22222222222222227,0.1,0.3,0.03333333333333333,0.1,0.16666666666666666,role_group
IF_C,10707,김민식,14,1,28.0,28,4,0,0,0,0,0,0,5,4,0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.0,0.17857142857142858,0.0,0.0,0.0,role_group
IF_C,16321,홍대인,14,1,19.0,17,5,2,0,0,2,0,0,3,7,1,4.0,1.0,0.29411764705882354,0.3684210526315789,0.4117647058823529,0.7801857585139318,0.11764705882352938,0.10526315789473684,0.15789473684210525,0.0,0.05263157894736842,0.21052631578947367,role_group
IF_C,13194,이정범,4,1,11.0,11,3,1,0,0,0,0,0,3,4,0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.6363636363636364,0.09090909090909094,0.0,0.2727272727272727,0.0,0.0,0.0,role_group
IF_C,15467,김민준,4,1,6.0,6,1,0,0,0,0,0,0,1,1,0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,role_group
IF_C,16318,최윤석,2,1,5.0,5,1,1,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0.4,0.6000000000000001,0.2,0.0,0.0,0.0,0.0,0.0,role_group
IF_C,15121,석정우,3,1,3.0,2,1,0,0,0,1,0,0,1,1,0,1.0,0.0,0.5,0.6666666666666666,0.5,1.1666666666666665,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,role_group
