role_segment,replacement_relevant,split_family,query_si,si_name,bucket_group,split_label,bucket_path,players,pa,ab,r,h,doubles,triples,hr,tb,rbi,bb,hbp,so,gdp,sf,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_per_pa,rbi_per_pa
DH_primary_or_bridge,True,terminal_count,4,ball_count,ballCount,1B_1S,ballCount/0/1B_1S,1,10,10,1,3,0,0,1,6,2,0,0,0,0,0,0.0,0.3,0.3,0.6,0.8999999999999999,0.3,0.0,0.0,0.1,0.2
DH_primary_or_bridge,True,terminal_count,4,ball_count,ballCount,1B_2S,ballCount/0/1B_2S,1,38,38,2,7,0,0,1,10,6,0,0,22,1,0,0.0,0.18421052631578946,0.18421052631578946,0.2631578947368421,0.4473684210526315,0.07894736842105263,0.0,0.5789473684210527,0.02631578947368421,0.15789473684210525
DH_primary_or_bridge,True,terminal_count,4,ball_count,ballCount,2B_0S,ballCount/0/2B_0S,1,4,4,1,2,0,0,1,5,2,0,0,0,0,0,0.0,0.5,0.5,1.25,1.75,0.75,0.0,0.0,0.25,0.5
DH_primary_or_bridge,True,terminal_count,4,ball_count,ballCount,2B_1S,ballCount/0/2B_1S,1,9,9,3,3,0,0,2,9,3,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,0.6666666666666667,0.0,0.0,0.2222222222222222,0.3333333333333333
DH_primary_or_bridge,True,terminal_count,4,ball_count,ballCount,2B_2S,ballCount/0/2B_2S,1,31,31,1,3,0,0,0,3,3,0,0,21,0,0,0.0,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.1935483870967742,0.0,0.0,0.6774193548387096,0.0,0.0967741935483871
DH_primary_or_bridge,True,terminal_count,4,ball_count,ballCount,3B_0S,ballCount/0/3B_0S,1,7,1,1,0,0,0,0,0,0,6,0,0,0,0,0.0,0.0,0.8571428571428571,0.0,0.8571428571428571,0.0,0.8571428571428571,0.0,0.0,0.0
DH_primary_or_bridge,True,terminal_count,4,ball_count,ballCount,3B_1S,ballCount/0/3B_1S,1,11,1,2,1,0,0,1,4,2,10,0,0,0,0,0.0,1.0,1.0,4.0,5.0,3.0,0.9090909090909091,0.0,0.09090909090909091,0.18181818181818182
DH_primary_or_bridge,True,terminal_count,4,ball_count,ballCount,3B_2S,ballCount/0/3B_2S,1,46,26,6,4,1,0,0,5,1,20,0,16,0,0,0.0,0.15384615384615385,0.5217391304347826,0.19230769230769232,0.7140468227424749,0.038461538461538464,0.43478260869565216,0.34782608695652173,0.0,0.021739130434782608
DH_primary_or_bridge,True,vsTeam,2,location_team_stadium,vsTeam,10001,vsTeam/10001,1,37,28,5,5,1,0,2,12,6,6,2,10,2,1,0.0,0.17857142857142858,0.35135135135135137,0.42857142857142855,0.7799227799227799,0.24999999999999997,0.16216216216216217,0.2702702702702703,0.05405405405405406,0.16216216216216217
DH_primary_or_bridge,True,vsTeam,2,location_team_stadium,vsTeam,1001,vsTeam/1001,1,17,15,1,3,1,0,1,7,1,2,0,8,0,0,0.0,0.2,0.29411764705882354,0.4666666666666667,0.7607843137254902,0.26666666666666666,0.11764705882352941,0.47058823529411764,0.058823529411764705,0.058823529411764705
DH_primary_or_bridge,True,vsTeam,2,location_team_stadium,vsTeam,11001,vsTeam/11001,1,14,12,1,2,0,0,0,2,3,2,0,6,0,0,0.0,0.16666666666666666,0.2857142857142857,0.16666666666666666,0.45238095238095233,0.0,0.14285714285714285,0.42857142857142855,0.0,0.21428571428571427
DH_primary_or_bridge,True,vsTeam,2,location_team_stadium,vsTeam,12001,vsTeam/12001,1,36,31,3,8,0,0,1,11,7,5,0,10,0,0,0.0,0.25806451612903225,0.3611111111111111,0.3548387096774194,0.7159498207885304,0.09677419354838712,0.1388888888888889,0.2777777777777778,0.027777777777777776,0.19444444444444445
DH_primary_or_bridge,True,vsTeam,2,location_team_stadium,vsTeam,2002,vsTeam/2002,1,20,16,2,2,0,0,0,2,0,4,0,8,0,0,1.0,0.125,0.3,0.125,0.425,0.0,0.2,0.4,0.0,0.0
